Frame	X	Y	VelX	VelY	Angle	AngularVel	Leg1	Leg2
0	0.00965	1.42347	0.48326	0.26605	-0.00950	-0.07758	0	0
1	0.01437	1.42885	0.47433	0.23907	-0.01159	-0.04169	0	0
2	0.01901	1.43362	0.46306	0.21232	-0.01141	0.00353	0	0
3	0.02357	1.43781	0.45465	0.18583	-0.00955	0.03726	0	0
4	0.02805	1.44140	0.44427	0.15975	-0.00560	0.07888	0	0
5	0.03246	1.44438	0.43412	0.13260	0.00037	0.11950	0	0
6	0.03679	1.44676	0.42538	0.10560	0.00809	0.15444	0	0
7	0.04105	1.44854	0.41692	0.07916	0.01750	0.18822	0	0
8	0.04523	1.44972	0.40619	0.05201	0.02906	0.23117	0	0
9	0.04934	1.45030	0.39694	0.02568	0.04246	0.26798	0	0
10	0.05335	1.45029	0.38612	-0.00083	0.05801	0.31104	0	0
11	0.05728	1.44968	0.37455	-0.02798	0.07587	0.35732	0	0
12	0.06111	1.44846	0.36290	-0.05563	0.09608	0.40417	0	0
13	0.06486	1.44662	0.35184	-0.08334	0.11851	0.44872	0	0
14	0.06851	1.44417	0.34034	-0.11096	0.14326	0.49500	0	0
15	0.07209	1.44113	0.33187	-0.13806	0.16969	0.52865	0	0
16	0.07561	1.43748	0.32361	-0.16553	0.19778	0.56186	0	0
17	0.07903	1.43321	0.31244	-0.19414	0.22819	0.60820	0	0
18	0.08237	1.42832	0.30203	-0.22261	0.26075	0.65135	0	0
19	0.08564	1.42282	0.29324	-0.25060	0.29512	0.68740	0	0
20	0.08890	1.41674	0.29319	-0.27738	0.32948	0.68724	0	0
21	0.09216	1.41007	0.29314	-0.30416	0.36383	0.68709	0	0
22	0.09541	1.40282	0.29309	-0.33094	0.39817	0.68693	0	0
23	0.09859	1.39494	0.28341	-0.36016	0.43465	0.72954	0	0
24	0.10169	1.38642	0.27527	-0.38993	0.47303	0.76772	0	0
25	0.10472	1.37727	0.26770	-0.41948	0.51326	0.80444	0	0
26	0.10770	1.36748	0.26053	-0.44957	0.55535	0.84198	0	0
27	0.11059	1.35705	0.25112	-0.47978	0.59975	0.88788	0	0
28	0.11340	1.34597	0.24309	-0.51093	0.64641	0.93329	0	0
29	0.11614	1.33423	0.23440	-0.54240	0.69554	0.98260	0	0
30	0.11879	1.32184	0.22654	-0.57314	0.74685	1.02613	0	0
31	0.12139	1.30882	0.22130	-0.60356	0.79987	1.06041	0	0
32	0.12391	1.29516	0.21443	-0.63488	0.85509	1.10438	0	0
33	0.12637	1.28081	0.20820	-0.66752	0.91280	1.15429	0	0
34	0.12874	1.26580	0.20076	-0.70034	0.97324	1.20874	0	0
35	0.13105	1.25013	0.19696	-0.73197	1.03562	1.24769	0	0
36	0.13330	1.23380	0.19381	-0.76377	1.09997	1.28684	0	0
37	0.13548	1.21679	0.18879	-0.79673	1.16685	1.33763	0	0
38	0.13759	1.19909	0.18516	-0.83027	1.23637	1.39037	0	0
39	0.13963	1.18069	0.18211	-0.86458	1.30877	1.44811	0	0
40	0.14160	1.16162	0.17997	-0.89641	1.38313	1.48709	0	0
41	0.14350	1.14184	0.17860	-0.93035	1.46019	1.54121	0	0
42	0.14536	1.12158	0.17992	-0.95101	1.53492	1.49471	0	0
43	0.14717	1.10082	0.18058	-0.97160	1.60732	1.44808	0	0
44	0.14892	1.07959	0.18030	-0.99025	1.67667	1.38692	0	0
45	0.15063	1.05789	0.17926	-1.00891	1.74297	1.32590	0	0
46	0.15228	1.03571	0.17787	-1.02735	1.80613	1.26334	0	0
47	0.15387	1.01303	0.17558	-1.04753	1.86680	1.21330	0	0
48	0.15541	0.98986	0.17248	-1.06673	1.92457	1.15549	0	0
49	0.15691	0.96618	0.17055	-1.08759	1.98015	1.11155	0	0
50	0.15835	0.94197	0.16670	-1.10878	2.03352	1.06735	0	0
51	0.15974	0.91723	0.16292	-1.12992	2.08467	1.02315	0	0
52	0.16107	0.89199	0.15799	-1.14986	2.13313	0.96914	0	0
53	0.16234	0.86624	0.15262	-1.17038	2.17905	0.91832	0	0
54	0.16355	0.83996	0.14748	-1.19175	2.22273	0.87376	0	0
55	0.16469	0.81318	0.13992	-1.21193	2.26355	0.81638	0	0
56	0.16577	0.78587	0.13264	-1.23328	2.30190	0.76687	0	0
57	0.16678	0.75804	0.12568	-1.25483	2.33787	0.71952	0	0
58	0.16771	0.72969	0.11741	-1.27586	2.37117	0.66587	0	0
59	0.16857	0.70083	0.10867	-1.29701	2.40176	0.61179	0	0
60	0.16936	0.67145	0.09964	-1.31815	2.42960	0.55692	0	0
61	0.17010	0.64154	0.09392	-1.34078	2.45558	0.51967	0	0
62	0.17076	0.61111	0.08431	-1.36247	2.47889	0.46609	0	0
63	0.17134	0.58015	0.07474	-1.38431	2.49956	0.41345	0	0
64	0.17184	0.54868	0.06525	-1.40581	2.51755	0.35968	0	0
65	0.17229	0.51667	0.05752	-1.42877	2.53346	0.31822	0	0
66	0.17267	0.48412	0.05048	-1.45215	2.54750	0.28089	0	0
67	0.17301	0.45101	0.04365	-1.47629	2.55988	0.24758	0	0
68	0.17327	0.41736	0.03496	-1.49930	2.57005	0.20330	0	0
69	0.17346	0.38318	0.02601	-1.52201	2.57789	0.15699	0	0
70	0.17359	0.34845	0.01761	-1.54556	2.58369	0.11599	0	0
71	0.17365	0.31320	0.00860	-1.56786	2.58709	0.06793	0	0
72	0.17364	0.27743	-0.00024	-1.59028	2.58814	0.02092	0	0
73	0.17357	0.24110	-0.00755	-1.61414	2.58738	-0.01514	0	0
74	0.17344	0.20422	-0.01423	-1.63830	2.58499	-0.04784	0	0
75	0.17324	0.16681	-0.02482	-1.66070	2.57995	-0.10087	0	0
76	0.17297	0.12886	-0.03245	-1.68446	2.57302	-0.13845	0	0
77	0.17263	0.09037	-0.04210	-1.70737	2.56371	-0.18624	0	0
78	0.17224	0.05131	-0.04879	-1.73163	2.55278	-0.21861	0	0
79	0.17141	0.01670	-0.31030	-0.06810	2.55484	1.62060	0	0
80	-0.00010	1.39001	-0.01078	-0.47771	0.00200	0.03968	0	0
81	-0.00026	1.37866	-0.02004	-0.50448	0.00584	0.07675	0	0
82	-0.00051	1.36671	-0.03116	-0.53085	0.01190	0.12129	0	0
83	-0.00085	1.35417	-0.04226	-0.55742	0.02019	0.16571	0	0
84	-0.00125	1.34104	-0.05002	-0.58386	0.03002	0.19662	0	0
85	-0.00174	1.32730	-0.06185	-0.61088	0.04221	0.24397	0	0
86	-0.00233	1.31297	-0.07313	-0.63759	0.05666	0.28898	0	0
87	-0.00301	1.29803	-0.08496	-0.66478	0.07348	0.33635	0	0
88	-0.00376	1.28249	-0.09418	-0.69138	0.09212	0.37291	0	0
89	-0.00460	1.26636	-0.10437	-0.71866	0.11281	0.41370	0	0
90	-0.00552	1.24961	-0.11474	-0.74636	0.13558	0.45559	0	0
91	-0.00652	1.23225	-0.12460	-0.77387	0.16034	0.49521	0	0
92	-0.00759	1.21428	-0.13376	-0.80189	0.18697	0.53269	0	0
93	-0.00874	1.19569	-0.14363	-0.83005	0.21563	0.57323	0	0
94	-0.00996	1.17649	-0.15181	-0.85775	0.24595	0.60642	0	0
95	-0.01124	1.15669	-0.15916	-0.88558	0.27778	0.63661	0	0
96	-0.01261	1.13627	-0.16968	-0.91427	0.31182	0.68084	0	0
97	-0.01407	1.11522	-0.18161	-0.94328	0.34837	0.73113	0	0
98	-0.01563	1.09356	-0.19189	-0.97233	0.38713	0.77533	0	0
99	-0.01725	1.07127	-0.20034	-1.00138	0.42777	0.81276	0	0
100	-0.01896	1.04835	-0.21004	-1.03093	0.47058	0.85635	0	0
101	-0.02073	1.02481	-0.21664	-1.06037	0.51500	0.88855	0	0
102	-0.02258	1.00063	-0.22547	-1.09086	0.56163	0.93266	0	0
103	-0.02450	0.97580	-0.23342	-1.12162	0.61038	0.97508	0	0
104	-0.02636	0.95044	-0.22434	-1.14591	0.65704	0.93321	0	0
105	-0.02819	0.92454	-0.21768	-1.16987	0.70201	0.89931	0	0
106	-0.02995	0.89815	-0.20880	-1.19205	0.74451	0.85000	0	0
107	-0.03167	0.87123	-0.20180	-1.21511	0.78505	0.81073	0	0
108	-0.03336	0.84380	-0.19574	-1.23799	0.82370	0.77308	0	0
109	-0.03500	0.81587	-0.18836	-1.25942	0.85989	0.72381	0	0
110	-0.03659	0.78746	-0.18063	-1.28010	0.89335	0.66916	0	0
111	-0.03813	0.75855	-0.17331	-1.30154	0.92434	0.61993	0	0
112	-0.03962	0.72916	-0.16662	-1.32162	0.95254	0.56396	0	0
113	-0.04108	0.69928	-0.16043	-1.34172	0.97800	0.50908	0	0
114	-0.04250	0.66890	-0.15510	-1.36385	1.00143	0.46870	0	0
115	-0.04389	0.63802	-0.15004	-1.38435	1.02236	0.41850	0	0
116	-0.04525	0.60662	-0.14590	-1.40633	1.04134	0.37963	0	0
117	-0.04657	0.57472	-0.14077	-1.42767	1.05806	0.33450	0	0
118	-0.04785	0.54233	-0.13472	-1.44803	1.07212	0.28114	0	0
119	-0.04910	0.50942	-0.13083	-1.46977	1.08417	0.24097	0	0
120	-0.05030	0.47602	-0.12463	-1.48975	1.09340	0.18473	0	0
121	-0.05147	0.44210	-0.12031	-1.51186	1.10072	0.14624	0	0
122	-0.05261	0.40769	-0.11643	-1.53248	1.10564	0.09848	0	0
123	-0.05373	0.37277	-0.11274	-1.55386	1.10845	0.05615	0	0
124	-0.05481	0.33733	-0.10878	-1.57520	1.10910	0.01313	0	0
125	-0.05587	0.30139	-0.10538	-1.59689	1.10777	-0.02658	0	0
126	-0.05690	0.26493	-0.10098	-1.61802	1.10418	-0.07184	0	0
127	-0.05789	0.22799	-0.09644	-1.63812	1.09797	-0.12430	0	0
128	-0.05884	0.19056	-0.09087	-1.65797	1.08895	-0.18030	0	0
129	-0.05975	0.15265	-0.08545	-1.67777	1.07714	-0.23627	0	0
130	-0.06062	0.11426	-0.08011	-1.69780	1.06261	-0.29054	0	0
131	-0.06145	0.07537	-0.07405	-1.71834	1.04548	-0.34274	0	1
132	-0.06288	0.06893	-0.18042	-0.38743	1.13720	1.75531	0	1
133	-0.06581	0.07148	-0.33670	0.01392	1.26965	2.62196	0	1
134	-0.06926	0.07349	-0.37675	0.00152	1.40108	2.62535	0	1
135	-0.07286	0.07502	-0.37373	-0.01815	1.52924	2.56342	0	0
136	-0.07659	0.07606	-0.37157	-0.03829	1.65466	2.50855	0	0
137	-0.08047	0.07661	-0.37075	-0.05725	1.77696	2.44623	0	0
138	-0.08449	0.07661	-0.37104	-0.07838	1.89701	2.40101	0	0
139	-0.08866	0.07607	-0.37286	-0.09706	2.01389	2.33787	0	0
140	-0.09295	0.07497	-0.37492	-0.11698	2.12814	2.28506	0	0
141	-0.09739	0.07325	-0.37847	-0.13833	2.24016	2.24059	0	0
142	-0.10194	0.07093	-0.38165	-0.15912	2.35040	2.20471	0	0
143	-0.10661	0.06798	-0.38646	-0.18077	2.45853	2.16271	0	0
144	-0.11140	0.06437	-0.39324	-0.20280	2.56444	2.11816	0	0
145	-0.11631	0.06009	-0.39993	-0.22580	2.66840	2.07929	0	0
146	-0.12131	0.05513	-0.40569	-0.24911	2.77069	2.04583	0	0
147	-0.12642	0.04948	-0.41502	-0.27279	2.87071	2.00149	0	0
148	-0.13164	0.04315	-0.42599	-0.29615	2.96822	1.95115	0	0
149	-0.13697	0.03612	-0.43697	-0.32053	3.06335	1.90354	0	0
150	-0.14239	0.02839	-0.44830	-0.34597	3.15611	1.85623	0	0
151	-0.14788	0.01994	-0.45769	-0.37234	3.24693	1.81732	0	0
152	-0.15345	0.01077	-0.46823	-0.39895	3.33559	1.77401	0	0
153	-0.15828	0.00564	-0.41818	-0.03866	3.36668	-0.33416	0	0
154	-0.00101	1.38815	-0.05612	-0.51917	0.00271	0.04308	0	0
155	-0.00164	1.37585	-0.06633	-0.54634	0.00691	0.08398	0	0
156	-0.00235	1.36295	-0.07749	-0.57339	0.01334	0.12870	0	0
